"species_en","year","breeding_status","abundance","method_description","method_quality"
"American ermine",1993,"undetermined",59,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"American ermine",1994,"undetermined",46,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"American ermine",1995,"undetermined",8,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Nearctic brown lemming",1995,"undetermined",2026,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",1995,"undetermined",2026,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"American ermine",1996,"undetermined",33,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",1996,"breeding",2,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",1996,"undetermined",100080,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",1996,"undetermined",9982,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"American ermine",1997,"undetermined",33,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",1997,"breeding",3,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",1997,"undetermined",14225,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",1997,"undetermined",2026,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"American ermine",1998,"undetermined",8,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",1998,"breeding",3,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",1998,"undetermined",26590,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",1998,"undetermined",24063,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"American ermine",1999,"undetermined",39,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",1999,"breeding",4,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",1999,"undetermined",2640,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",1999,"undetermined",2026,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Snow goose",1999,"breeding",8175,"Nest monitoring plots extrapolated to mean goose colony area","moderate"
"American ermine",2000,"undetermined",21,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",2000,"breeding",4,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",2000,"undetermined",137110,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",2000,"undetermined",16327,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Snow goose",2000,"breeding",15412,"Nest monitoring plots extrapolated to mean goose colony area","moderate"
"American ermine",2001,"undetermined",111,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",2001,"breeding",5,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",2001,"undetermined",9441,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",2001,"undetermined",8350,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Snow goose",2001,"breeding",35404,"Nest monitoring plots extrapolated to mean goose colony area","moderate"
"American ermine",2002,"undetermined",59,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
"Cackling goose",2002,"breeding",6,"Extrapolation from exponential model of growth (strong visual fit with empirical data)","moderate"
"Nearctic brown lemming",2002,"undetermined",2026,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Nearctic collared lemming",2002,"undetermined",2372,"Rigorous density estimates at small spatial scale (0.22 km2) extrapolated by habitat","moderate"
"Snow goose",2002,"breeding",25715,"Nest monitoring plots extrapolated to mean goose colony area","moderate"
"American ermine",2003,"undetermined",8,"Indices of relative abundance derived from testimonials converted to abundance using home range size","moderate"
