"species_en","site","mean_body_mass_g","sample_size","reference"
"Snow goose","bylot",1487,6231,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
"Snow goose","undetermined",2636,NA,"Wilman et al., 2014"
"American pipit","undetermined",21,NA,"Wilman et al., 2014"
"Sandhill crane","undetermined",4296,NA,"Wilman et al., 2014"
"Ruddy turnstone","undetermined",136,NA,"Wilman et al., 2014"
"Cackling goose","undetermined",2812,NA,"Wilman et al., 2014"
"Snowy owl","bylot",2169,29,"G. Gauthier, J.-F. Therrien, A. Robillard and J. Bêty, unpublished data"
"Snowy owl","undetermined",2029,NA,"Wilman et al., 2014"
"Rough-legged hawk","undetermined",950,NA,"Wilman et al., 2014"
"Lapland longspur","bylot",28,86,"J. Bêty and G. Gauthier, unpublished data"
"Lapland longspur","undetermined",28,NA,"Wilman et al., 2014"
"Baird's sandpiper","bylot",72,6,"J. Bêty, unpublished data"
"Baird's sandpiper","undetermined",41,NA,"Wilman et al., 2014"
"Red knot","bylot",145,1,"J. Bêty, unpublished data"
"Red knot","undetermined",142,NA,"Wilman et al., 2014"
"White-rumped sandpiper","bylot",94,1,"J. Bêty, unpublished data"
"White-rumped sandpiper","undetermined",43,NA,"Wilman et al., 2014"
"Pectoral sandpiper","bylot",88,2,"J. Bêty, unpublished data"
"Pectoral sandpiper","undetermined",80,NA,"Wilman et al., 2014"
"Buff-breasted sandpiper","bylot",92,2,"J. Bêty, unpublished data"
"Buff-breasted sandpiper","undetermined",62,NA,"Wilman et al., 2014"
"Common Ringed plover","bylot",86,118,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
"Common Ringed plover","undetermined",64,NA,"Wilman et al., 2014"
"Long-tailed duck","undetermined",871,NA,"Wilman et al., 2014"
"Common raven","undetermined",928,NA,"Wilman et al., 2014"
"Tundra swan","undetermined",6378,NA,"Wilman et al., 2014"
"Nearctic collared lemming","bylot",47,679,"Gauthier et al., 2020 (doi: 10.5885/45400AW-9891BD76704C4CE2)"
"Nearctic collared lemming","undetermined",54,NA,"Wilman et al., 2014"
"Horned lark","undetermined",33,NA,"Wilman et al., 2014"
"Peregrine falcon","undetermined",760,NA,"Wilman et al., 2014"
"Pacific loon","undetermined",2251,NA,"Wilman et al., 2014"
"Red-throated loon","undetermined",1486,NA,"Wilman et al., 2014"
"Rock ptarmigan","undetermined",535,NA,"Wilman et al., 2014"
"Glaucous gull","bylot",1500,10,"G. Gauthier, unpublished data"
"Glaucous gull","undetermined",1529,NA,"Wilman et al., 2014"
"Nearctic brown lemming","bylot",45,6405,"Gauthier et al., 2020 (doi: 10.5885/45400AW-9891BD76704C4CE2)"
"Nearctic brown lemming","undetermined",70,NA,"Wilman et al., 2014"
"Arctic hare","undetermined",4405,NA,"Wilman et al., 2014"
"Ermine","bylot",134,NA,"Legagneux et al., 2012"
"Ermine","undetermined",119,NA,"Wilman et al., 2014"
"Red phalarope","undetermined",56,NA,"Wilman et al., 2014"
"Snow bunting","undetermined",42,NA,"Wilman et al., 2014"
"American golden-plover","bylot",170,164,"J.-F. Lamarre and J. Bêty, unpublished data"
"American golden-plover","undetermined",151,NA,"Wilman et al., 2014"
"Black-bellied plover","bylot",210,6,"J.-F. Lamarre and J. Bêty, unpublished data"
"Black-bellied plover","undetermined",250,NA,"Wilman et al., 2014"
"King eider","undetermined",1617,NA,"Wilman et al., 2014"
"Long-tailed jaeger","bylot",298,138,"Seyer et al., 2019 (doi-org.ezproxy.uqar.ca/10.1675/063.042.0403)"
"Long-tailed jaeger","undetermined",288,NA,"Wilman et al., 2014"
"Parasitic jaeger","bylot",461,24,"J.-F. Therrien and G. Gauthier, unpublished data"
"Parasitic jaeger","undetermined",444,NA,"Wilman et al., 2014"
"Arctic fox","bylot",3300,NA,"Legagneux et al., 2012"
"Arctic fox","undetermined",3584,NA,"Wilman et al., 2014"
