"species","source","body_mass_g"
"king eider","literature",1617
"long-tailed duck","literature",871
"Pacific loon","literature",2251
"red-throated loon","literature",1486
"cackling goose","literature",2812
"snow goose","study_area",1487
"snow goose","literature",2636
"tundra swan","literature",6378
"rough-legged hawk","literature",950
"peregrine falcon","literature",760
"snowy owl","study_area",2169
"snowy owl","literature",2029
"rock ptarmigan","literature",535
"sandhill crane","literature",4296
"American golden-plover","study_area",170
"American golden-plover","literature",151
"black-bellied plover","study_area",210
"black-bellied plover","literature",250
"common-ringed plover","study_area",86
"common-ringed plover","literature",64
"ruddy turnstone","literature",136
"red knot","study_area",145
"red knot","literature",142
"pectoral sandpiper","study_area",88
"pectoral sandpiper","literature",80
"Baird's sandpiper","study_area",72
"Baird's sandpiper","literature",41
"white-rumped sandpiper","literature",43
"buff-breasted sandpiper","study_area",92
"buff-breasted sandpiper","literature",62
"red phalarope","literature",56
"glaucous gull","study_area",1500
"glaucous gull","literature",1529
"long-tailed jaeger","study_area",298
"long-tailed jaeger","literature",288
"parasitic jaeger","study_area",461
"parasitic jaeger","literature",444
"common raven","literature",928
"horned lark","literature",33
"American pipit","literature",21
"Lapland longspur","study_area",28
"Lapland longspur","literature",28
"snow bunting","literature",42
"brown lemming","study_area",45
"brown lemming","literature",70
"collared lemming","study_area",47
"collared lemming","literature",54
"Arctic hare","literature",4405
"ermine","study_area",134
"ermine","literature",119
"Arctic fox","literature",3584
