"species","zone","year","status","data","abundance"
"american golden plover","study area",2014,"breeding","distance sampling",1725
"american golden plover","study area",2015,"breeding","distance sampling",1220
"american golden plover","study area",2016,"breeding","distance sampling",1211
"american golden plover","study area",2017,"breeding","distance sampling",1193
"american golden plover","study area",2018,"breeding","distance sampling",548
"american golden plover","study area",2019,"breeding","distance sampling",397
"american golden plover","study area",2022,"breeding","distance sampling",1379
"american golden plover","study area",2023,"breeding","distance sampling",1146
"american pipit","study area",NA,"breeding","transects (relative abundance)",53
"american pipit","study area",NA,"breeding","incidental observations (relative abundance)",87
"arctic fox","study area",NA,"undetermined","individual home range",53
"arctic hare","study area",NA,"undetermined","incidental observations (relative abundance)",6
"bairds sandpiper","study area",NA,"breeding","nest sampling (extrapolation transects)",2448
"black bellied plover","study area",NA,"breeding","transects (relative abundance)",29
"black bellied plover","study area",NA,"breeding","incidental observations (relative abundance)",87
"brown lemming","study area",1995,"undetermined","trapping",2026
"brown lemming","study area",1996,"undetermined","trapping",100080
"brown lemming","study area",1997,"undetermined","trapping",14225
"brown lemming","study area",1998,"undetermined","trapping",26590
"brown lemming","study area",1999,"undetermined","trapping",2640
"brown lemming","study area",2000,"undetermined","trapping",137110
"brown lemming","study area",2001,"undetermined","trapping",9441
"brown lemming","study area",2002,"undetermined","trapping",2026
"brown lemming","study area",2003,"undetermined","trapping",2026
"brown lemming","study area",2004,"undetermined","trapping",68378
"brown lemming","study area",2005,"undetermined","trapping",3276
"brown lemming","study area",2006,"undetermined","trapping",4336
"brown lemming","study area",2007,"undetermined","trapping",4373
"brown lemming","study area",2008,"undetermined","trapping",44827
"brown lemming","study area",2009,"undetermined","trapping",1945
"brown lemming","study area",2010,"undetermined","trapping",95615
"brown lemming","study area",2011,"undetermined","trapping",154805
"brown lemming","study area",2012,"undetermined","trapping",518
"brown lemming","study area",2013,"undetermined","trapping",0
"brown lemming","study area",2014,"undetermined","trapping",153753
"brown lemming","study area",2015,"undetermined","trapping",88772
"brown lemming","study area",2016,"undetermined","trapping",63865
"brown lemming","study area",2017,"undetermined","trapping",5814
"brown lemming","study area",2018,"undetermined","trapping",125
"brown lemming","study area",2019,"undetermined","trapping",24844
"brown lemming","study area",2021,"undetermined","trapping",447630
"brown lemming","study area",2022,"undetermined","trapping",111
"buff breasted sandpiper","study area",NA,"breeding","transects (relative abundance)",6
"buff breasted sandpiper","study area",NA,"breeding","incidental observations (relative abundance)",8
"cackling goose","study area",1996,"breeding","nest sampling (extrapolation nests)",2
"cackling goose","study area",1997,"breeding","nest sampling (extrapolation nests)",3
"cackling goose","study area",1998,"breeding","nest sampling (extrapolation nests)",3
"cackling goose","study area",1999,"breeding","nest sampling (extrapolation nests)",4
"cackling goose","study area",2000,"breeding","nest sampling (extrapolation nests)",4
"cackling goose","study area",2001,"breeding","nest sampling (extrapolation nests)",5
"cackling goose","study area",2002,"breeding","nest sampling (extrapolation nests)",6
"cackling goose","study area",2003,"breeding","nest sampling (extrapolation nests)",7
"cackling goose","study area",2004,"breeding","nest sampling (extrapolation nests)",9
"cackling goose","study area",2005,"breeding","nest sampling (extrapolation nests)",10
"cackling goose","study area",2006,"breeding","nest sampling (extrapolation nests)",12
"cackling goose","study area",2007,"breeding","nest sampling (extrapolation nests)",14
"cackling goose","study area",2008,"breeding","nest sampling (extrapolation nests)",17
"cackling goose","study area",2009,"breeding","nest sampling (extrapolation nests)",20
"cackling goose","study area",2010,"breeding","nest sampling (extrapolation nests)",24
"cackling goose","study area",2011,"breeding","nest sampling (extrapolation nests)",28
"cackling goose","study area",2012,"breeding","nest sampling (extrapolation nests)",34
"cackling goose","study area",2013,"breeding","nest sampling (extrapolation nests)",40
"cackling goose","study area",2014,"breeding","nest sampling (extrapolation nests)",48
"cackling goose","study area",2015,"breeding","nest sampling (extrapolation nests)",56
"cackling goose","study area",2016,"breeding","nest sampling (extrapolation nests)",67
"cackling goose","study area",2017,"breeding","nest sampling",80
"cackling goose","study area",2018,"breeding","nest sampling",122
"cackling goose","study area",2019,"breeding","nest sampling",152
"cackling goose","study area",2020,"breeding","nest sampling (extrapolation nests)",133
"cackling goose","study area",2021,"breeding","nest sampling (extrapolation nests)",158
"cackling goose","study area",2022,"breeding","nest sampling",120
"cackling goose","study area",2023,"breeding","nest sampling",214
"collared lemming","study area",1995,"undetermined","trapping",2026
"collared lemming","study area",1996,"undetermined","trapping",9982
"collared lemming","study area",1997,"undetermined","trapping",2026
"collared lemming","study area",1998,"undetermined","trapping",24063
"collared lemming","study area",1999,"undetermined","trapping",2026
"collared lemming","study area",2000,"undetermined","trapping",16327
"collared lemming","study area",2001,"undetermined","trapping",8350
"collared lemming","study area",2002,"undetermined","trapping",2372
"collared lemming","study area",2003,"undetermined","trapping",2026
"collared lemming","study area",2004,"undetermined","trapping",12431
"collared lemming","study area",2005,"undetermined","trapping",4089
"collared lemming","study area",2006,"undetermined","trapping",13817
"collared lemming","study area",2007,"undetermined","trapping",667
"collared lemming","study area",2008,"undetermined","trapping",6026
"collared lemming","study area",2009,"undetermined","trapping",0
"collared lemming","study area",2010,"undetermined","trapping",39302
