"","Scientific name","Species name","Body mass g (study area)","n","Body mass g (literature)"
"1","Lagopus muta","rock ptarmigan",NA,NA,535.3
"2","Cygnus columbianus","tundra swan",NA,NA,6377.96
"3","Somateria spectabilis","king eider",NA,NA,1616.71
"4","Clangula hyemalis","long tailed duck",NA,NA,871
"5","Arenaria interpres","ruddy turnstone",NA,NA,135.98
"6","Calidris canutus","red knot",145,1,141.87
"7","Calidris fuscicollis","white rumped sandpiper",NA,NA,43.01
"8","Calidris bairdii","bairds sandpiper",71.8333333333333,6,40.97
"9","Calidris melanotos","pectoral sandpiper",87.5,2,79.73
"10","Phalaropus fulicarius","red phalarope",NA,NA,55.59
"11","Pluvialis dominica","american golden plover",170.268292682927,164,151.47
"12","Pluvialis squatarola","black bellied plover",210,6,250
"13","Charadrius hiaticula","common ringed plover",86.1779661016949,118,64.04
"14","Stercorarius longicaudus","long tailed jaeger",298.090833333333,138,287.9
"15","Stercorarius parasiticus","parasitic jaeger",461.020833333333,24,444.31
"16","Larus hyperboreus","glaucous gull",1500.3,10,1529.04
"17","Buteo lagopus","rough legged hawk",NA,NA,949.76
"18","Falco peregrinus","peregrine falcon",NA,NA,759.95
"19","Gavia stellata","red throated loon",NA,NA,1486
"20","Corvus corax","common raven",NA,NA,927.97
"21","Eremophila alpestris","horned lark",NA,NA,33.33
"22","Anthus rubescens","american pipit",NA,NA,20.68
"23","Calcarius lapponicus","lapland longspur",28.4290697674419,86,27.84
"24","Plectrophenax nivalis","snow bunting",NA,NA,42.2
"25","Branta hutchinsii","cackling goose",NA,NA,2811.68
"26","Gavia pacifica","pacific loon",NA,NA,2251.1
"27","Dicrostonyx groenlandicus","collared lemming",46.9462444771723,679,54.4
"28","Lemmus trimucronatus","brown lemming",45.0446213895394,6405,69.82
"29","Lepus arcticus","arctic hare",NA,NA,4405.04
"30","Vulpes lagopus","arctic fox",NA,NA,3584.37
"31","Anser caerulescens","snow goose",1486.60905151661,6231,2636.15
"32","Bubo scandiacus","snowy owl",2169.27586206897,29,2028.76
"33","Antigone canadensis","sandhill crane",NA,NA,4296.22
"34","Calidris subruficollis","buff breasted sandpiper",92.5,2,62.1
"35","Mustela richardsonii","ermine",134,NA,119.38
