species	method
snow goose	combined methods
snowy owl	nest sampling
glaucous gull	nest sampling
peregrine falcon	nest sampling
rough legged hawk	nest sampling
american golden plover	distance sampling
cackling goose	nest sampling
arctic fox	individual home range
collared lemming	trapping
brown lemming	trapping
ermine	testimonials
long tailed jaeger	nest sampling (extrapolation habitat)
red throated loon	nest sampling
pacific loon	nest sampling
tundra swan	nest sampling
common ringed plover	nest sampling
black bellied plover	transects (relative abundance)
lapland longspur	nest sampling (extrapolation transects)
bairds sandpiper	nest sampling (extrapolation transects)
sandhill crane	nest sampling (extrapolation transects)
king eider	incidental observations (relative abundance)
long tailed duck	incidental observations (relative abundance)
rock ptarmigan	nest sampling (extrapolation habitat)
horned lark	incidental observations (relative abundance)
ruddy turnstone	transects (relative abundance)
red phalarope	transects (relative abundance)
red knot	transects (relative abundance)
white rumped sandpiper	transects (relative abundance)
buff breasted sandpiper	transects (relative abundance)
pectoral sandpiper	transects (relative abundance)
parasitic jaeger	banding
common raven	incidental observations (relative abundance)
american pipit	incidental observations (relative abundance)
snow bunting	incidental observations (relative abundance)
arctic hare	incidental observations (relative abundance)
