"","species","zone","year","sampled","monitoring"
"1","arctic fox","2x1km plot",1993,"no","systematic"
"2","arctic fox","2x1km plot",1994,"no","systematic"
"3","arctic fox","2x1km plot",1995,"no","systematic"
"4","arctic fox","2x1km plot",1996,"no","systematic"
"5","arctic fox","2x1km plot",1997,"no","systematic"
"6","arctic fox","2x1km plot",1998,"no","systematic"
"7","arctic fox","2x1km plot",1999,"no","systematic"
"8","arctic fox","2x1km plot",2000,"no","systematic"
"9","arctic fox","2x1km plot",2001,"no","systematic"
"10","arctic fox","2x1km plot",2002,"no","systematic"
"11","arctic fox","2x1km plot",2003,"no","systematic"
"12","arctic fox","2x1km plot",2004,"no","systematic"
"13","arctic fox","2x1km plot",2005,"no","systematic"
"14","arctic fox","2x1km plot",2006,"no","systematic"
"15","arctic fox","2x1km plot",2007,"no","systematic"
"16","arctic fox","2x1km plot",2008,"yes","systematic"
"17","arctic fox","2x1km plot",2009,"yes","systematic"
"18","arctic fox","2x1km plot",2010,"yes","systematic"
"19","arctic fox","2x1km plot",2011,"yes","systematic"
"20","arctic fox","2x1km plot",2012,"yes","systematic"
"21","arctic fox","2x1km plot",2013,"yes","systematic"
"22","arctic fox","2x1km plot",2014,"yes","systematic"
"23","arctic fox","2x1km plot",2015,"yes","systematic"
"24","arctic fox","2x1km plot",2016,"yes","systematic"
"25","arctic fox","2x1km plot",2017,"no","systematic"
"26","arctic fox","2x1km plot",2018,"no","systematic"
"27","arctic fox","2x1km plot",2019,"no","systematic"
"28","arctic fox","2x1km plot",2021,"no","systematic"
"29","arctic fox","2x1km plot",2022,"no","systematic"
"30","arctic fox","2x1km plot",2023,"no","systematic"
"31","arctic fox","4x2km plot",1993,"no","systematic"
"32","arctic fox","4x2km plot",1994,"no","systematic"
"33","arctic fox","4x2km plot",1995,"no","systematic"
"34","arctic fox","4x2km plot",1996,"no","systematic"
"35","arctic fox","4x2km plot",1997,"no","systematic"
"36","arctic fox","4x2km plot",1998,"no","systematic"
"37","arctic fox","4x2km plot",1999,"no","systematic"
"38","arctic fox","4x2km plot",2000,"no","systematic"
"39","arctic fox","4x2km plot",2001,"no","systematic"
"40","arctic fox","4x2km plot",2002,"no","systematic"
"41","arctic fox","4x2km plot",2003,"no","systematic"
"42","arctic fox","4x2km plot",2004,"no","systematic"
"43","arctic fox","4x2km plot",2005,"no","systematic"
"44","arctic fox","4x2km plot",2006,"no","systematic"
"45","arctic fox","4x2km plot",2007,"no","systematic"
"46","arctic fox","4x2km plot",2008,"yes","systematic"
"47","arctic fox","4x2km plot",2009,"yes","systematic"
"48","arctic fox","4x2km plot",2010,"yes","systematic"
"49","arctic fox","4x2km plot",2011,"yes","systematic"
"50","arctic fox","4x2km plot",2012,"yes","systematic"
"51","arctic fox","4x2km plot",2013,"yes","systematic"
"52","arctic fox","4x2km plot",2014,"yes","systematic"
"53","arctic fox","4x2km plot",2015,"yes","systematic"
"54","arctic fox","4x2km plot",2016,"yes","systematic"
"55","arctic fox","4x2km plot",2017,"no","systematic"
"56","arctic fox","4x2km plot",2018,"no","systematic"
