"species","zone","year","sampled","monitoring"
"american ermine","2x1km plot",1993,"yes","opportunistic"
"american ermine","2x1km plot",1994,"yes","opportunistic"
"american ermine","2x1km plot",1995,"yes","opportunistic"
"american ermine","2x1km plot",1996,"yes","opportunistic"
"american ermine","2x1km plot",1997,"yes","opportunistic"
"american ermine","2x1km plot",1998,"yes","opportunistic"
"american ermine","2x1km plot",1999,"yes","opportunistic"
"american ermine","2x1km plot",2000,"yes","opportunistic"
"american ermine","2x1km plot",2001,"yes","opportunistic"
"american ermine","2x1km plot",2002,"yes","opportunistic"
"american ermine","2x1km plot",2003,"yes","opportunistic"
"american ermine","2x1km plot",2004,"yes","opportunistic"
"american ermine","2x1km plot",2005,"yes","opportunistic"
"american ermine","2x1km plot",2006,"yes","opportunistic"
"american ermine","2x1km plot",2007,"yes","opportunistic"
"american ermine","2x1km plot",2008,"yes","opportunistic"
"american ermine","2x1km plot",2009,"yes","opportunistic"
"american ermine","2x1km plot",2010,"yes","opportunistic"
"american ermine","2x1km plot",2011,"yes","opportunistic"
"american ermine","2x1km plot",2012,"yes","opportunistic"
"american ermine","2x1km plot",2013,"yes","opportunistic"
"american ermine","2x1km plot",2014,"yes","opportunistic"
"american ermine","2x1km plot",2015,"yes","opportunistic"
"american ermine","2x1km plot",2016,"yes","opportunistic"
"american ermine","2x1km plot",2017,"yes","opportunistic"
"american ermine","2x1km plot",2018,"yes","opportunistic"
"american ermine","2x1km plot",2019,"yes","opportunistic"
"american ermine","2x1km plot",2021,"no","opportunistic"
"american ermine","2x1km plot",2022,"no","opportunistic"
"american ermine","2x1km plot",2023,"no","opportunistic"
"american ermine","4x2km plot",1993,"yes","opportunistic"
"american ermine","4x2km plot",1994,"yes","opportunistic"
"american ermine","4x2km plot",1995,"yes","opportunistic"
"american ermine","4x2km plot",1996,"yes","opportunistic"
"american ermine","4x2km plot",1997,"yes","opportunistic"
"american ermine","4x2km plot",1998,"yes","opportunistic"
"american ermine","4x2km plot",1999,"yes","opportunistic"
"american ermine","4x2km plot",2000,"yes","opportunistic"
"american ermine","4x2km plot",2001,"yes","opportunistic"
"american ermine","4x2km plot",2002,"yes","opportunistic"
"american ermine","4x2km plot",2003,"yes","opportunistic"
"american ermine","4x2km plot",2004,"yes","opportunistic"
"american ermine","4x2km plot",2005,"yes","opportunistic"
"american ermine","4x2km plot",2006,"yes","opportunistic"
"american ermine","4x2km plot",2007,"yes","opportunistic"
"american ermine","4x2km plot",2008,"yes","opportunistic"
"american ermine","4x2km plot",2009,"yes","opportunistic"
"american ermine","4x2km plot",2010,"yes","opportunistic"
"american ermine","4x2km plot",2011,"yes","opportunistic"
"american ermine","4x2km plot",2012,"yes","opportunistic"
"american ermine","4x2km plot",2013,"yes","opportunistic"
"american ermine","4x2km plot",2014,"yes","opportunistic"
"american ermine","4x2km plot",2015,"yes","opportunistic"
"american ermine","4x2km plot",2016,"yes","opportunistic"
"american ermine","4x2km plot",2017,"yes","opportunistic"
"american ermine","4x2km plot",2018,"yes","opportunistic"
"american ermine","4x2km plot",2019,"yes","opportunistic"
"american ermine","4x2km plot",2021,"no","opportunistic"
"american ermine","4x2km plot",2022,"no","opportunistic"
"american ermine","4x2km plot",2023,"no","opportunistic"
"american ermine","black plateau",1993,"yes","opportunistic"
"american ermine","black plateau",1994,"yes","opportunistic"
"american ermine","black plateau",1995,"yes","opportunistic"
"american ermine","black plateau",1996,"yes","opportunistic"
"american ermine","black plateau",1997,"yes","opportunistic"
"american ermine","black plateau",1998,"yes","opportunistic"
"american ermine","black plateau",1999,"yes","opportunistic"
"american ermine","black plateau",2000,"yes","opportunistic"
"american ermine","black plateau",2001,"yes","opportunistic"
"american ermine","black plateau",2002,"yes","opportunistic"
"american ermine","black plateau",2003,"yes","opportunistic"
"american ermine","black plateau",2004,"yes","opportunistic"
"american ermine","black plateau",2005,"yes","opportunistic"
"american ermine","black plateau",2006,"yes","opportunistic"
"american ermine","black plateau",2007,"yes","opportunistic"
"american ermine","black plateau",2008,"yes","opportunistic"
"american ermine","black plateau",2009,"yes","opportunistic"
"american ermine","black plateau",2010,"yes","opportunistic"
"american ermine","black plateau",2011,"yes","opportunistic"
"american ermine","black plateau",2012,"yes","opportunistic"
"american ermine","black plateau",2013,"yes","opportunistic"
"american ermine","black plateau",2014,"yes","opportunistic"
"american ermine","black plateau",2015,"yes","opportunistic"
"american ermine","black plateau",2016,"yes","opportunistic"
"american ermine","black plateau",2017,"yes","opportunistic"
"american ermine","black plateau",2018,"yes","opportunistic"
"american ermine","black plateau",2019,"yes","opportunistic"
"american ermine","black plateau",2021,"no","opportunistic"
"american ermine","black plateau",2022,"no","opportunistic"
"american ermine","black plateau",2023,"no","opportunistic"
"american ermine","camp 1",1993,"yes","opportunistic"
"american ermine","camp 1",1994,"yes","opportunistic"
"american ermine","camp 1",1995,"yes","opportunistic"
"american ermine","camp 1",1996,"yes","opportunistic"
"american ermine","camp 1",1997,"yes","opportunistic"
"american ermine","camp 1",1998,"yes","opportunistic"
"american ermine","camp 1",1999,"yes","opportunistic"
"american ermine","camp 1",2000,"yes","opportunistic"
"american ermine","camp 1",2001,"yes","opportunistic"
"american ermine","camp 1",2002,"yes","opportunistic"
"american ermine","camp 1",2003,"yes","opportunistic"
"american ermine","camp 1",2004,"yes","opportunistic"
"american ermine","camp 1",2005,"yes","opportunistic"
"american ermine","camp 1",2006,"yes","opportunistic"
"american ermine","camp 1",2007,"yes","opportunistic"
"american ermine","camp 1",2008,"yes","opportunistic"
"american ermine","camp 1",2009,"yes","opportunistic"
"american ermine","camp 1",2010,"yes","opportunistic"
"american ermine","camp 1",2011,"yes","opportunistic"
"american ermine","camp 1",2012,"yes","opportunistic"
"american ermine","camp 1",2013,"yes","opportunistic"
"american ermine","camp 1",2014,"yes","opportunistic"
"american ermine","camp 1",2015,"yes","opportunistic"
"american ermine","camp 1",2016,"yes","opportunistic"
"american ermine","camp 1",2017,"yes","opportunistic"
"american ermine","camp 1",2018,"yes","opportunistic"
"american ermine","camp 1",2019,"yes","opportunistic"
"american ermine","camp 1",2021,"no","opportunistic"
"american ermine","camp 1",2022,"no","opportunistic"
"american ermine","camp 1",2023,"no","opportunistic"
"american ermine","camp 2",1993,"yes","opportunistic"
"american ermine","camp 2",1994,"yes","opportunistic"
"american ermine","camp 2",1995,"yes","opportunistic"
"american ermine","camp 2",1996,"yes","opportunistic"
"american ermine","camp 2",1997,"yes","opportunistic"
"american ermine","camp 2",1998,"yes","opportunistic"
"american ermine","camp 2",1999,"yes","opportunistic"
"american ermine","camp 2",2000,"yes","opportunistic"
"american ermine","camp 2",2001,"yes","opportunistic"
"american ermine","camp 2",2002,"yes","opportunistic"
"american ermine","camp 2",2003,"yes","opportunistic"
"american ermine","camp 2",2004,"yes","opportunistic"
"american ermine","camp 2",2005,"yes","opportunistic"
"american ermine","camp 2",2006,"yes","opportunistic"
"american ermine","camp 2",2007,"yes","opportunistic"
"american ermine","camp 2",2008,"yes","opportunistic"
"american ermine","camp 2",2009,"yes","opportunistic"
"american ermine","camp 2",2010,"yes","opportunistic"
"american ermine","camp 2",2011,"yes","opportunistic"
"american ermine","camp 2",2012,"yes","opportunistic"
"american ermine","camp 2",2013,"yes","opportunistic"
"american ermine","camp 2",2014,"yes","opportunistic"
"american ermine","camp 2",2015,"yes","opportunistic"
"american ermine","camp 2",2016,"yes","opportunistic"
"american ermine","camp 2",2017,"yes","opportunistic"
"american ermine","camp 2",2018,"yes","opportunistic"
"american ermine","camp 2",2019,"yes","opportunistic"
"american ermine","camp 2",2021,"no","opportunistic"
"american ermine","camp 2",2022,"no","opportunistic"
"american ermine","camp 2",2023,"no","opportunistic"
"american ermine","camp 3",1993,"yes","opportunistic"
"american ermine","camp 3",1994,"yes","opportunistic"
"american ermine","camp 3",1995,"yes","opportunistic"
"american ermine","camp 3",1996,"yes","opportunistic"
"american ermine","camp 3",1997,"yes","opportunistic"
"american ermine","camp 3",1998,"yes","opportunistic"
"american ermine","camp 3",1999,"yes","opportunistic"
"american ermine","camp 3",2000,"yes","opportunistic"
"american ermine","camp 3",2001,"yes","opportunistic"
"american ermine","camp 3",2002,"yes","opportunistic"
"american ermine","camp 3",2003,"yes","opportunistic"
"american ermine","camp 3",2004,"yes","opportunistic"
"american ermine","camp 3",2005,"yes","opportunistic"
"american ermine","camp 3",2006,"yes","opportunistic"
"american ermine","camp 3",2007,"yes","opportunistic"
"american ermine","camp 3",2008,"yes","opportunistic"
"american ermine","camp 3",2009,"yes","opportunistic"
"american ermine","camp 3",2010,"yes","opportunistic"
"american ermine","camp 3",2011,"yes","opportunistic"
"american ermine","camp 3",2012,"yes","opportunistic"
"american ermine","camp 3",2013,"yes","opportunistic"
"american ermine","camp 3",2014,"yes","opportunistic"
"american ermine","camp 3",2015,"yes","opportunistic"
"american ermine","camp 3",2016,"yes","opportunistic"
"american ermine","camp 3",2017,"yes","opportunistic"
"american ermine","camp 3",2018,"yes","opportunistic"
"american ermine","camp 3",2019,"yes","opportunistic"
"american ermine","camp 3",2021,"no","opportunistic"
"american ermine","camp 3",2022,"no","opportunistic"
"american ermine","camp 3",2023,"no","opportunistic"
"american ermine","camp 3 plateau",1993,"yes","opportunistic"
"american ermine","camp 3 plateau",1994,"yes","opportunistic"
"american ermine","camp 3 plateau",1995,"yes","opportunistic"
"american ermine","camp 3 plateau",1996,"yes","opportunistic"
"american ermine","camp 3 plateau",1997,"yes","opportunistic"
"american ermine","camp 3 plateau",1998,"yes","opportunistic"
"american ermine","camp 3 plateau",1999,"yes","opportunistic"
"american ermine","camp 3 plateau",2000,"yes","opportunistic"
"american ermine","camp 3 plateau",2001,"yes","opportunistic"
"american ermine","camp 3 plateau",2002,"yes","opportunistic"
"american ermine","camp 3 plateau",2003,"yes","opportunistic"
"american ermine","camp 3 plateau",2004,"yes","opportunistic"
"american ermine","camp 3 plateau",2005,"yes","opportunistic"
"american ermine","camp 3 plateau",2006,"yes","opportunistic"
"american ermine","camp 3 plateau",2007,"yes","opportunistic"
"american ermine","camp 3 plateau",2008,"yes","opportunistic"
"american ermine","camp 3 plateau",2009,"yes","opportunistic"
"american ermine","camp 3 plateau",2010,"yes","opportunistic"
"american ermine","camp 3 plateau",2011,"yes","opportunistic"
"american ermine","camp 3 plateau",2012,"yes","opportunistic"
"american ermine","camp 3 plateau",2013,"yes","opportunistic"
"american ermine","camp 3 plateau",2014,"yes","opportunistic"
"american ermine","camp 3 plateau",2015,"yes","opportunistic"
"american ermine","camp 3 plateau",2016,"yes","opportunistic"
"american ermine","camp 3 plateau",2017,"yes","opportunistic"
"american ermine","camp 3 plateau",2018,"yes","opportunistic"
"american ermine","camp 3 plateau",2019,"yes","opportunistic"
"american ermine","camp 3 plateau",2021,"no","opportunistic"
"american ermine","camp 3 plateau",2022,"no","opportunistic"
"american ermine","camp 3 plateau",2023,"no","opportunistic"
"american ermine","dufour",1993,"yes","opportunistic"
"american ermine","dufour",1994,"yes","opportunistic"
"american ermine","dufour",1995,"yes","opportunistic"
"american ermine","dufour",1996,"yes","opportunistic"
"american ermine","dufour",1997,"yes","opportunistic"
"american ermine","dufour",1998,"yes","opportunistic"
"american ermine","dufour",1999,"yes","opportunistic"
"american ermine","dufour",2000,"yes","opportunistic"
"american ermine","dufour",2001,"yes","opportunistic"
"american ermine","dufour",2002,"yes","opportunistic"
