species,zone,year,number_years,monitoring
snow goose,camp 2,"1999-2019, 2022-2023",23,systematic
snowy owl,qarlikturvik valley,"1996-2019, 2022-2023",26,systematic
nearctic brown lemming,trapping grids,"1995-2019, 2021-2022",27,systematic
nearctic collared lemming,trapping grids,"1995-2019, 2021-2022",27,systematic
peregrine falcon,qarlikturvik valley,"2007-2019, 2022",15,systematic
rough legged hawk,qarlikturvik valley,"2007-2019, 2022",15,systematic
cackling goose,qarlikturvik valley,"2004-2019, 2022-2023",18,systematic
tundra swan,qarlikturvik valley,"2004-2019, 2022",17,systematic
pacific loon,qarlikturvik valley,"2004-2019, 2022",17,systematic
red throated loon,qarlikturvik valley,"2004-2019, 2022",17,systematic
glaucous gull,qarlikturvik valley,"2004-2019, 2022",17,systematic
long tailed jaeger,camp 1,"2004-2019, 2022",17,systematic
parasitic jaeger,camp 1,"2004-2019, 2022",17,systematic
sandhill crane,camp 1,"2004-2019, 2022",17,opportunistic
lapland longspur,2x1km plot,"2005-2019, 2022-2023",17,systematic
bairds sandpiper,2x1km plot,"2005-2019, 2022-2023",17,systematic
long tailed duck,4x2km plot,"2005-2019, 2022",16,opportunistic
king eider,4x2km plot,"2005-2019, 2022",16,opportunistic
rock ptarmigan,4x2km plot,"2005-2019, 2022",16,opportunistic
snowy owl,study area,"2012-2019, 2022-2023",10,systematic
peregrine falcon,study area,"2013-2019, 2022 ",8,systematic
rough legged hawk,study area,"2013-2019, 2022",8,systematic
common raven,study area,"2013-2019, 2022",8,systematic
cackling goose,study area,"2017-2019, 2022-2023",5,systematic
tundra swan,study area,"2017-2019, 2022",4,systematic
pacific loon,study area,"2017-2019, 2022",4,systematic
red throated loon,study area,"2017-2019, 2022",4,systematic
glaucous gull,study area,"2017-2019, 2022",4,systematic
parasitic jaeger,study area,"2009-2019, 2022",12,opportunistic
common ringed plover,study area,2015-2017,3,systematic
american ermine,study area,1993-2019,27,opportunistic
arctic fox,study area,2008-2016,9,systematic
