species,age,site,year,body_mass_g,reference
american golden plover,adult,bylot,2011,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,192,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,153,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,176,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,182,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,184,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,177,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,182,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,177,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,199,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,177,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,188,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,185,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,189,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,183,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,160,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,189,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,188,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,177,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2011,163,"J.-F. Lamarre and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2011,226,"J.-F. Lamarre and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2011,232,"J.-F. Lamarre and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2011,195,"J.-F. Lamarre and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2011,205,"J.-F. Lamarre and J. Bêty, unpublished data"
black bellied plover,adult,bylot,2011,217,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,187,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,155,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,184,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,167,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,176,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,160,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,156,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,155,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,156,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2012,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,153,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,159,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,158,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,154,"J.-F. Lamarre and J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,65,"J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,163,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,161,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,157,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,152,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,150,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,159,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,150,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,161,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,154,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,153,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,151,"J.-F. Lamarre and J. Bêty, unpublished data"
pectoral sandpiper,adult,bylot,2013,81,"J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,188,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,169,"J.-F. Lamarre and J. Bêty, unpublished data"
