"","species","nb_ind_hour_upland","nb_ind_hour_lowland","ratio_difference"
"1","american golden plover",0.2565,0.3937,0.7
"2","american pipit",0.3372,0.0237,14.2
"3","arctic fox",0.0634,0.0902,0.7
"4","arctic hare",0.0173,0.0085,2
"5","bairds sandpiper",0.3084,0.3204,1
"6","black bellied plover",0.0202,0.0318,0.6
"7","brown lemming",0.0346,0.0522,0.7
"8","buff breasted sandpiper",0,0.0014,0
"9","cackling goose",0.2392,0.2624,0.9
"10","collared lemming",0.0115,0.0147,0.8
"11","common raven",0.1124,0.3162,0.4
"12","common ringed plover",0.2133,0.0667,3.2
"13","ermine",0.0029,0.0051,0.6
"14","glaucous gull",0.4236,0.7361,0.6
"15","horned lark",0.2421,0.1544,1.6
"16","king eider",0.4841,0.2621,1.8
"17","lapland longspur",1.9308,2.6407,0.7
"18","long tailed duck",0.5735,0.4717,1.2
"19","long tailed jaeger",0.634,0.9148,0.7
"20","pacific loon",0.0259,0.031,0.8
"21","parasitic jaeger",0.098,0.4395,0.2
"22","pectoral sandpiper",0.0202,0.0341,0.6
"23","peregrine falcon",0.0692,0.0112,6.2
"24","red knot",0,0.0329,0
"25","red phalarope",0.0058,0.0379,0.2
"26","red throated loon",0.1297,0.1468,0.9
"27","rock ptarmigan",0.0288,0.0296,1
"28","rough legged hawk",0.513,0.0347,14.8
"29","ruddy turnstone",0.0086,0.0067,1.3
"30","sandhill crane",0.4179,0.2866,1.5
"31","snow bunting",0.5908,0.0919,6.4
"32","snow goose",28.1268,38.4056,0.7
"33","snowy owl",0.1383,0.0487,2.8
"34","tundra swan",0,0.0019,0
"35","white rumped sandpiper",0.0403,0.1372,0.3
