"","zone","year","prop_overlap_colony"
"1","camp 2",2010,0.64
"2","camp 2",2011,0.65
"3","camp 2",2012,0.55
"4","camp 2",2013,0.65
"5","camp 2",2014,0.65
"6","camp 2",2015,0.59
"7","camp 2",2016,0.79
"8","camp 2",2017,0.61
"9","camp 2",2018,0.73
"10","camp 2",2019,0.8
"11","camp 2",2022,0.48
"12","camp 2",2023,0.56
"13","dufour",2010,0.03
"14","dufour",2011,0.03
"15","dufour",2012,0
"16","dufour",2013,0
"17","dufour",2014,0.09
"18","dufour",2015,0
"19","dufour",2016,0
"20","dufour",2017,0
"21","dufour",2018,0
"22","dufour",2019,0
"23","dufour",2022,0
"24","dufour",2023,0.06
"25","goose point",2010,0.29
"26","goose point",2011,0.32
"27","goose point",2012,0.34
"28","goose point",2013,0.34
"29","goose point",2014,0.46
"30","goose point",2015,0.36
"31","goose point",2016,0.46
"32","goose point",2017,0.41
"33","goose point",2018,0.46
"34","goose point",2019,0.46
"35","goose point",2022,0.07
"36","goose point",2023,0.24
"37","malaview",2010,0.2
"38","malaview",2011,0.15
"39","malaview",2012,0.03
"40","malaview",2013,0.03
"41","malaview",2014,0.12
"42","malaview",2015,0.1
"43","malaview",2016,0.17
"44","malaview",2017,0.13
"45","malaview",2018,0.12
"46","malaview",2019,0.17
"47","malaview",2022,0
"48","malaview",2023,0.23
"49","study area",2010,0.2
"50","study area",2011,0.19
"51","study area",2012,0.15
"52","study area",2013,0.17
"53","study area",2014,0.21
"54","study area",2015,0.17
"55","study area",2016,0.23
"56","study area",2017,0.19
"57","study area",2018,0.22
"58","study area",2019,0.24
"59","study area",2022,0.11
"60","study area",2023,0.21
"61","4x2km plot",2010,0
"62","4x2km plot",2011,0
"63","4x2km plot",2012,0
"64","4x2km plot",2013,0
"65","4x2km plot",2014,0
"66","4x2km plot",2015,0
"67","4x2km plot",2016,0
"68","4x2km plot",2017,0
"69","4x2km plot",2018,0
"70","4x2km plot",2019,0
"71","4x2km plot",2022,0
"72","4x2km plot",2023,0.37
"73","camp 3",2010,0
"74","camp 3",2011,0
"75","camp 3",2012,0
"76","camp 3",2013,0
"77","camp 3",2014,0.03
"78","camp 3",2015,0
"79","camp 3",2016,0
"80","camp 3",2017,0
"81","camp 3",2018,0
"82","camp 3",2019,0
"83","camp 3",2022,0
"84","camp 3",2023,0.18
"85","2x1km plot",2010,0
"86","2x1km plot",2011,0
"87","2x1km plot",2012,0
"88","2x1km plot",2013,0
"89","2x1km plot",2014,0
"90","2x1km plot",2015,0
"91","2x1km plot",2016,0
"92","2x1km plot",2017,0
"93","2x1km plot",2018,0
"94","2x1km plot",2019,0
"95","2x1km plot",2022,0
"96","2x1km plot",2023,0.5
"97","qarlikturvik valley",2010,0
"98","qarlikturvik valley",2011,0
"99","qarlikturvik valley",2012,0
"100","qarlikturvik valley",2013,0
"101","qarlikturvik valley",2014,0
"102","qarlikturvik valley",2015,0
"103","qarlikturvik valley",2016,0
"104","qarlikturvik valley",2017,0
"105","qarlikturvik valley",2018,0
"106","qarlikturvik valley",2019,0
"107","qarlikturvik valley",2022,0
"108","qarlikturvik valley",2023,0.05
"109","camp 1",2010,0
"110","camp 1",2011,0
"111","camp 1",2012,0
"112","camp 1",2013,0
"113","camp 1",2014,0
"114","camp 1",2015,0
"115","camp 1",2016,0
"116","camp 1",2017,0
"117","camp 1",2018,0
"118","camp 1",2019,0
"119","camp 1",2022,0
"120","camp 1",2023,0.09
