"","distance"
"1",0
"2",0
"3",0.222437306205132
"4",0.225890987841136
"5",0.345977104103464
"6",0.371803919219921
"7",0.373087053710968
"8",0.482542030396553
"9",0.579884034788404
"10",0.662874070308609
"11",0.884005550442862
"12",0.906698617650459
"13",0.906825587097461
"14",0.916890930157047
"15",0.934712110039929
"16",0.965731500674955
"17",0.991420957382328
"18",1.04743483084593
"19",1.07940898618799
"20",1.13123159987584
"21",1.17490549787651
"22",1.1855259121896
"23",1.23871959276835
"24",1.32720830959297
"25",1.40782070119516
"26",1.60015146334888
"27",1.6300288569041
"28",1.64750725022589
"29",1.74681322592264
"30",1.7778855218265
"31",1.88685682754373
"32",1.91018280020156
"33",1.94523998592617
"34",1.99960011996001
"35",2.194439422247
"36",2.44996131360466
"37",2.48532722508592
"38",2.62825671436924
"39",2.66754129998368
"40",2.68986741620528
"41",2.69977347141821
"42",2.69977347141821
"43",2.73688338046265
"44",2.9504425995874
"45",3.00247922105786
"46",3.03276106943191
"47",3.35385022796049
"48",3.43815874338886
"49",3.44151211700944
"50",3.49631959875017
"51",3.49631959875017
"52",3.55417775999024
"53",3.66037194400482
"54",3.77357426245586
"55",3.85978741096637
"56",3.96955074946621
"57",4.1376702426352
"58",4.31760989057398
"59",4.5766178756963
"60",4.60065113618032
"61",4.60065113618032
"62",4.77129555423441
"63",4.80133033950614
"64",4.84240859865068
"65",4.85423959770879
"66",5.01918001302648
"67",5.05697686092906
"68",5.11897630709764
"69",5.1294984781741
"70",5.1556923270876
"71",5.21042832739136
"72",5.44775630700271
"73",5.45673142817298
"74",5.64044952816216
"75",5.64401891198505
"76",5.64403327524609
"77",5.65712207817542
"78",5.73281776959091
"79",5.75960787489718
"80",5.75960787489718
"81",6.03823875907031
"82",6.0992139285866
"83",6.3543169198198
"84",6.52232237315449
"85",6.54572773970463
"86",6.65347816553426
"87",6.74956556627367
"88",6.84211913171439
"89",6.95125312428212
"90",7.0194743941274
"91",7.07588533127204
"92",7.14237309688733
"93",7.21245535795638
"94",7.35125690933888
"95",7.39820742088814
"96",7.51612626727495
"97",7.64108108041456
"98",7.74304938386971
"99",7.74304938386971
"100",7.82247801713547
"101",7.83719120882807
"102",7.97247539821016
"103",7.97247539821016
