"year","foxid","id_merged_pair","sex","rep_status","area_argos","VAR","VAR.log","goose_category","centro_in_colony","lemming_density","lem_cat"
"2008","BBJB","BBJB","M","Breeder",28.7741265453411,12.8993822973372,0.0157422826476429,"outside with overlap","0",2.812,"High"
"2010","BBJB","BBJB","M","Breeder",12.1587965970239,2.0889875605739,0.0142791117070947,"outside colony","0",3.843,"High"
"2010","BBMR","BBMR","F","Breeder",14.8403325482703,4.83073671116368,0.0221635514251076,"outside with overlap","0",3.843,"High"
"2011","BBMR","BBMR","F","Breeder",19.8789575594384,6.75225233155975,0.0172668490300616,"outside colony","0",5.038,"High"
"2015","BBOJ","BBOJ","F",NA,5.35697377971496,0.432749287738268,0.0152326353381296,"inside colony","1",3.647,"High"
"2013","BBOO","BBOO","F",NA,10.034826312881,0.964279079970632,0.00967315658244188,"inside colony","1",0.019,"Low"
"2014","BBOO","BBOO","F","Breeder",13.4454901752015,3.02185608275107,0.0168735211672551,"inside colony","1",6.479,"High"
"2015","BBOO","BBOO","F","Breeder",9.61455558131374,1.16571760712627,0.012738310765618,"inside colony","1",3.647,"High"
"2014","BBVM","BBVM","F","Breeder",16.4451077359384,3.08196035795682,0.0115126039911882,"outside with overlap","0",6.479,"High"
"2014","BJOB","BJOB","F","Breeder",16.9038837015559,2.66456523444536,0.00941832794712466,"outside colony","0",6.479,"High"
"2012","BJVM","BJVM","F","Non-breeder",20.4942173086776,3.65381472479528,0.00878775606040211,"outside colony","0",0.087,"Low"
"2009","BJVR","BJVR","F","Non-breeder",86.3554306590156,159.897469400068,0.0216725559735769,"outside with overlap","0",0.141,"Low"
"2010","BJVR","BJVR","F","Breeder",64.7144769044028,37.8896377721255,0.0091411689482835,"outside with overlap","0",3.843,"High"
"2010","BMBB","JBVJ","M","Non-breeder",26.2005996862492,7.83401503545861,0.0115306442657441,"inside colony","1",3.843,"High"
"2010","BMBR","BMBR","M",NA,12.8663037039376,2.52579946177169,0.0154139870267592,"inside colony","1",3.843,"High"
"2011","BMBR","BMBR","M","Breeder",19.1000249839231,2.82539549711051,0.00782210352032127,"inside colony","1",5.038,"High"
"2009","BMJJ","BMJJ","F","Breeder",38.823602861873,28.3853661811384,0.0190310448197597,"inside colony","1",0.141,"Low"
"2010","BMJJ","BMJJ","F","Breeder",37.8328295139067,28.0604120120595,0.0198042431333921,"inside colony","1",3.843,"High"
"2011","BMJJ","BMJJ","F","Breeder",23.2413556768744,4.70357456223158,0.0087951440474935,"inside colony","1",5.038,"High"
"2009","BMRB","BMRB","M","Breeder",33.4379586121964,10.5152764378756,0.00949967520863657,"outside with overlap","0",0.141,"Low"
"2010","BMRB","BMRB","M","Breeder",35.8180813266829,15.8025789176787,0.0124435721203606,"inside colony","1",3.843,"High"
"2011","BMRB","BMRB","M","Breeder",23.8522132710338,3.68735629660503,0.0065467288749813,"inside colony","1",5.038,"High"
"2011","BMRV","BMRV","M",NA,31.1243304623486,12.0556388146416,0.0125773743653063,"outside colony","0",5.038,"High"
"2016","BOBB","BOBB","M","Breeder",42.7490725287772,16.4593625239369,0.00909642227899173,"outside with overlap","0",2.533,"High"
"2013","BOBO","BOBO","M","Breeder",9.54046202603833,0.925522409464616,0.0102669139698599,"inside colony","1",0.019,"Low"
"2014","BOBO","BOBO","M","Breeder",16.0960573940648,1.93536680930782,0.00754653273320383,"inside colony","1",6.479,"High"
"2015","BOOO","BOOO","M","Breeder",14.3010547010196,2.36277129093923,0.0116720042505838,"outside colony","0",3.647,"High"
"2011","BRJM","BRJM","M",NA,10.0496675715947,1.25698177995461,0.0125666761191266,"inside colony","1",5.038,"High"
"2012","BRJM","BRJM","M","Non-breeder",11.4995700837195,1.05417818815481,0.00805243685020387,"inside colony","1",0.087,"Low"
"2013","BRJM","BRJM","M",NA,17.3994598155055,2.46510689657506,0.00822559925659407,"inside colony","1",0.019,"Low"
"2014","BRJM","BRJM","M","Breeder",16.4649257393334,3.45377585621748,0.0128741681149774,"inside colony","1",6.479,"High"
"2015","BROB","BROB","F","Breeder",21.279513401166,6.2775350023581,0.0140049101807063,"outside colony","0",3.647,"High"
"2014","BROR","BROR","M","Breeder",18.9747627714137,5.07063752962437,0.0142299059888979,"outside colony","0",6.479,"High"
"2015","BROV","BROV","M","Breeder",24.8183793358596,8.80423559412995,0.0144410802175508,"outside colony","0",3.647,"High"
"2012","BRRM","BRRM","F","Non-breeder",23.3896258723382,6.71409273827851,0.0123965745447067,"outside colony","0",0.087,"Low"
"2013","BRRM","BRRM","F","Non-breeder",14.5607062658418,1.77220242397249,0.00844356526901412,"outside with overlap","0",0.019,"Low"
"2015","BRRO","BRRO","F","Breeder",23.3475433244292,6.9928504416166,0.012958500866167,"outside colony","0",3.647,"High"
"2013","BVJM","BVJM","F","Non-breeder",12.861800208938,1.70226485713572,0.0103923073290618,"outside with overlap","0",0.019,"Low"
"2014","BVJM","BVJM","F","Breeder",10.1926712299524,1.14848648574598,0.0111688845291814,"outside with overlap","0",6.479,"High"
"2014","BVVO","BVVO","F","Non-breeder",10.2938578896715,1.51842833566794,0.0144721489605202,"inside colony","1",6.479,"High"
"2015","BVVO","BVVO","F","Breeder",14.4735910659417,2.33100081176303,0.0112411975047962,"inside colony","1",3.647,"High"
"2016","BVVO","BVVO","F","Breeder",10.6496386758195,1.0553643790324,0.00939778785677022,"inside colony","1",2.533,"High"
"2009","JBBV","JBBV","F","Non-breeder",49.6727420203088,43.5250697001946,0.0178225822419467,"outside with overlap","0",0.141,"Low"
"2008","JBJB","JBJB","F",NA,40.5256642219058,28.3529193631648,0.0174392239139386,"outside colony","0",2.812,"High"
"2008","JBRB","JBRB","F","Breeder",11.7236478318789,2.13121274392703,0.0156673732217595,"outside with overlap","0",2.812,"High"
"2008","JBRV","JBRV","F","Breeder",20.3054304939642,6.41423940812099,0.0157178152314586,"inside colony","1",2.812,"High"
"2010","JBVJ","JBVJ","F","Non-breeder",19.0310333688098,6.481346618201,0.0180816234210421,"inside colony","1",3.843,"High"
"2012","JBVM","JBVM","M","Breeder",18.2956451652924,4.32313998315079,0.0130527817409113,"outside colony","0",0.087,"Low"
"2008","JBVV","BBJB","F","Breeder",22.1524513855859,10.7413336029856,0.0221186349664694,"outside colony","0",2.812,"High"
"2009","JBVV","JBVV","F","Breeder",51.2257501285057,51.6760348838636,0.0198940373267847,"outside with overlap","0",0.141,"Low"
"2010","JBVV","BBJB","F","Breeder",15.2137329514364,2.15676698430403,0.00941353807947062,"outside colony","0",3.843,"High"
"2008","JJJM","JJJM","F","Breeder",32.5102230583407,19.4827831105794,0.01862605174378,"outside colony","0",2.812,"High"
"2008","JJMM","JJJM","M","Breeder",31.8403203270509,15.7928019862545,0.0157383834055809,"outside colony","0",2.812,"High"
"2010","JJMV","BMRB","F","Breeder",37.2655521128064,26.6894643960083,0.0194179955625888,"outside with overlap","0",3.843,"High"
"2011","JJMV","BMRB","F","Breeder",16.7469347451462,3.38544765819778,0.0121984300034061,"inside colony","1",5.038,"High"
"2009","JJVB","JJVB","F","Breeder",22.1555709419899,9.19364149104989,0.0189229999657689,"inside colony","1",0.141,"Low"
"2008","JMJR","JMJR","M","Breeder",24.0390542944393,7.01434732964968,0.012262103136159,"outside colony","0",2.812,"High"
