nest_id,species,year,zone
BUPA_115,rough legged hawk,2018,black plateau
BUPA_139,rough legged hawk,2018,black plateau
BUPA_152,rough legged hawk,2018,black plateau
BUPA106,rough legged hawk,2012,black plateau
BUPA115,rough legged hawk,2019,black plateau
BUPA118,rough legged hawk,2012,black plateau
BUPA118,rough legged hawk,2019,black plateau
BUPA122,rough legged hawk,2012,black plateau
BUPA122,rough legged hawk,2019,black plateau
BUPA125,rough legged hawk,2019,black plateau
BUPA127,rough legged hawk,2012,black plateau
BUPA127,rough legged hawk,2019,black plateau
BUPA128,rough legged hawk,2012,black plateau
BUPA128,rough legged hawk,2019,black plateau
BUPA138,rough legged hawk,2019,black plateau
BUPA154,rough legged hawk,2019,black plateau
BUPA157,rough legged hawk,2019,black plateau
BUPA159,rough legged hawk,2019,black plateau
BUPA162,rough legged hawk,2019,black plateau
BUPA163,rough legged hawk,2019,black plateau
BUS01,rough legged hawk,2006,black plateau
BUS1,rough legged hawk,2004,black plateau
PEFA_AB01,peregrine falcon,2017,black plateau
PEFA01,peregrine falcon,2008,black plateau
PEFA01,peregrine falcon,2009,black plateau
PEFA01,peregrine falcon,2010,black plateau
PEFA01,peregrine falcon,2011,black plateau
PEFA01,peregrine falcon,2018,black plateau
PEFA02,peregrine falcon,2008,black plateau
PEFA02,peregrine falcon,2018,black plateau
PEFA03,peregrine falcon,2008,black plateau
PEFA04,peregrine falcon,2013,black plateau
PEFA104,peregrine falcon,2012,black plateau
PEFA104,peregrine falcon,2014,black plateau
PEFA104,peregrine falcon,2015,black plateau
PEFA104a,peregrine falcon,2019,black plateau
PEFA106,peregrine falcon,2019,black plateau
PEFA107,peregrine falcon,2019,black plateau
PEFAAB01,peregrine falcon,2016,black plateau
RLHA_AB02,rough legged hawk,2017,black plateau
RLHA01,rough legged hawk,2009,black plateau
RLHA01,rough legged hawk,2018,black plateau
RLHA02,rough legged hawk,2009,black plateau
RLHA03,rough legged hawk,2011,black plateau
RLHA04,rough legged hawk,2010,black plateau
RLHA04,rough legged hawk,2011,black plateau
RLHA05,rough legged hawk,2010,black plateau
RLHA05,rough legged hawk,2011,black plateau
RLHA06,rough legged hawk,2010,black plateau
RLHA06,rough legged hawk,2011,black plateau
RLHA07,rough legged hawk,2010,black plateau
RLHA07,rough legged hawk,2011,black plateau
RLHA08,rough legged hawk,2010,black plateau
RLHA08-NC,rough legged hawk,2016,black plateau
RLHA09,rough legged hawk,2010,black plateau
RLHA09-NC,rough legged hawk,2016,black plateau
