site,species,grid,habitat,year,period,density,se,
Goose camp,brown,LG2,mesic,2004,P2,3.671,0.940,
Goose camp,brown,LG2,mesic,2004,P3,2.130,0.474,
Goose camp,brown,LG2,mesic,2004,P4,2.206,0.502,
Goose camp,brown,LG2,mesic,2005,P1,0.580,0.240,
Goose camp,brown,LG2,mesic,2005,P2,0.658,0.255,
Goose camp,brown,LG2,mesic,2005,P3,0.106,0.000,
Goose camp,brown,LG2,mesic,2005,P4,0.427,0.000,
Goose camp,brown,LG2,mesic,2006,P1,0.232,0.000,
Goose camp,brown,LG2,mesic,2006,P2,0.111,0.070,
Goose camp,brown,LG2,mesic,2006,P3,0.149,0.079,
Goose camp,brown,LG2,mesic,2006,P4,0.424,0.190,
Goose camp,brown,LG2,mesic,2007,P1,0.221,0.277,
Goose camp,brown,LG2,mesic,2007,P2,0.242,0.000,
Goose camp,brown,LG2,mesic,2007,P3,0.141,0.178,
Goose camp,brown,LG2,mesic,2007,P4,0.753,0.420,
Goose camp,brown,LG2,mesic,2008,P1,0.808,0.255,
Goose camp,brown,LG2,mesic,2008,P2,0.775,0.217,
Goose camp,brown,LG2,mesic,2008,P3,1.562,0.449,
Goose camp,brown,LG2,mesic,2009,P1,0.161,0.000,
Goose camp,brown,LG2,mesic,2009,P2,0.081,0.000,
Goose camp,brown,LG2,mesic,2009,P3,0.000,0.000,
Goose camp,brown,LG2,mesic,2010,P1,0.511,0.000,"Les densités à la 1ère période en 2010 sont probablement sous-estimées à cause d’un enneigement exceptionnellement élevé au moment du trappage vivant cette année-là, ce qui a vraisemblablement diminuée la taille effective de la grille de trappage. "
Goose camp,brown,LG2,mesic,2010,P2,3.141,0.480,
Goose camp,brown,LG2,mesic,2010,P3,3.665,0.504,
Goose camp,brown,LG2,mesic,2011,P1,6.469,1.023,
Goose camp,brown,LG2,mesic,2011,P2,7.541,0.842,
Goose camp,brown,LG2,mesic,2011,P3,3.377,0.538,
Goose camp,brown,LG2,mesic,2012,P1,0.573,0.000,
Goose camp,brown,LG2,mesic,2012,P2,0.000,0.000,
Goose camp,brown,LG2,mesic,2012,P3,0.000,0.000,
Goose camp,brown,LG2,mesic,2013,P1,0.000,0.000,
Goose camp,brown,LG2,mesic,2013,P2,0.000,0.000,
Goose camp,brown,LG2,mesic,2013,P3,0.000,0.000,
Goose camp,brown,LG2,mesic,2014,P1,1.460,0.344,
Goose camp,brown,LG2,mesic,2014,P2,5.269,0.594,
Goose camp,brown,LG2,mesic,2014,P3,4.853,0.814,
Goose camp,brown,LG2,mesic,2015,P1,2.544,0.576,
Goose camp,brown,LG2,mesic,2015,P2,1.929,0.372,
Goose camp,brown,LG2,mesic,2015,P3,4.006,0.565,
Goose camp,brown,LG2,mesic,2016,P1,3.209,0.780,"Les densités à la 1ère période en 2016 sont probablement sous-estimées à cause d’un enneigement exceptionnellement élevé au moment du trappage vivant cette année-là, ce qui a vraisemblablement diminuée la taille effective de la grille de trappage. "
Goose camp,brown,LG2,mesic,2016,P2,2.413,0.505,
Goose camp,brown,LG2,mesic,2016,P3,2.505,0.544,
Goose camp,brown,LG2,mesic,2017,P1,0.000,0.000,
Goose camp,brown,LG2,mesic,2017,P2,0.423,0.214,
Goose camp,brown,LG2,mesic,2017,P3,0.000,0.000,
Goose camp,brown,LG2,mesic,2018,P1,0.067,0.000,Densité P1 estimée avec moyenne ESA des dernières années 
Goose camp,brown,LG2,mesic,2018,P2,0.000,0.000,
Goose camp,brown,LG2,mesic,2018,P3,0.000,0.000,
Goose camp,brown,LG2,mesic,2019,P1,3.906,0.960,
Goose camp,brown,LG2,mesic,2019,P2,0.731,0.217,
Goose camp,brown,LG2,mesic,2019,P3,0.411,0.163,
Goose camp,brown,LG2,mesic,2020,P1,NA,NA,Covid
Goose camp,brown,LG2,mesic,2020,P2,NA,NA,Covid
Goose camp,brown,LG2,mesic,2020,P3,NA,NA,Covid
Goose camp,brown,LG2,mesic,2021,P1,NA,NA,Covid
Goose camp,brown,LG2,mesic,2021,P2,NA,NA,Covid
Goose camp,brown,LG2,mesic,2021,P3,15.457,1.418,
Goose camp,brown,LG2,mesic,2022,P1,0.000,0.000,
Goose camp,brown,LG2,mesic,2022,P2,0.000,0.000,
Goose camp,brown,LG2,mesic,2022,P3,0.000,0.000,
Goose camp,brown,LG1,wet,2004,P2,1.889,0.399,
Goose camp,brown,LG1,wet,2004,P3,3.881,0.757,
Goose camp,brown,LG1,wet,2004,P4,3.329,0.557,
Goose camp,brown,LG1,wet,2005,P1,0.237,0.000,
Goose camp,brown,LG1,wet,2005,P2,0.479,0.211,
Goose camp,brown,LG1,wet,2005,P3,0.160,0.130,
Goose camp,brown,LG1,wet,2005,P4,0.240,0.153,
Goose camp,brown,LG1,wet,2006,P1,0.217,0.000,
Goose camp,brown,LG1,wet,2006,P2,0.059,0.083,
Goose camp,brown,LG1,wet,2006,P3,0.155,0.000,
Goose camp,brown,LG1,wet,2006,P4,0.424,0.158,
Goose camp,brown,LG1,wet,2007,P1,0.000,0.000,
Goose camp,brown,LG1,wet,2007,P2,0.244,0.209,
Goose camp,brown,LG1,wet,2007,P3,0.217,0.000,
Goose camp,brown,LG1,wet,2007,P4,0.073,0.000,
Goose camp,brown,LG1,wet,2008,P1,8.355,3.731,
Goose camp,brown,LG1,wet,2008,P2,4.132,0.598,
Goose camp,brown,LG1,wet,2008,P3,3.940,0.891,
