"","nest_id","species","year","long","lat","utm_zone","datum"
"1","AL01","horned lark",2005,531927,8116534,"17","nad27"
"2","AL02","horned lark",2005,533615,8115550,"17","nad27"
"3","ALC01","horned lark",2007,532988,8117841,"17","nad27"
"4","ALCNB01","horned lark",2012,535880,8088522,"17","nad27"
"5","ALCNB02","horned lark",2012,539320,8088396,"17","nad83"
"6","ALL01","horned lark",2006,533253,8118033,"17","nad27"
"7","ALOU1","horned lark",2004,533078,8116952,"17","nad27"
"8","AMPI01","american pipit",2010,533092,8117824,"17","nad27"
"9","AMPI01","american pipit",2014,532798,8123012,"17","nad27"
"10","AMPI01","american pipit",2015,535133,8114714,"17","nad27"
"11","AMPI02","american pipit",2014,534639,8116807,"17","nad27"
"12","AMPI02","american pipit",2015,535146,8114841,"17","nad27"
"13","AMPI03","american pipit",2014,536490,8118169,"17","nad27"
"14","AMPI04","american pipit",2014,534639,8116807,"17","nad27"
"15","AMPICC01","american pipit",2018,535797,8117058,"17","nad27"
"16","AMPINC01","american pipit",2016,531753,8115587,"17","nad27"
"17","ARTE01","arctic tern",2009,529439,8118908,"17","nad27"
"18","ARTE01","arctic tern",2014,528474,8115664,"17","nad27"
"19","ARTE01","arctic tern",2015,528439,8115434,"17","nad27"
"20","ARTE01","arctic tern",2019,529309,8118883,"17","nad27"
"21","ARTE01-YS","arctic tern",2016,529507,8118835,"17","nad27"
"22","ARTE01-YS","arctic tern",2017,529266,8118926,"17","nad27"
"23","ARTE02","arctic tern",2009,528475,8115653,"17","nad27"
"24","ARTE02","arctic tern",2014,537193,8083193,"17","nad27"
"25","ARTE02-YS","arctic tern",2016,529443,8118834,"17","nad27"
"26","ARTE02-YS","arctic tern",2017,529527,8118948,"17","nad27"
"27","ARTEDL01","arctic tern",2016,547900,8073882,"17","nad27"
"28","ARTEDL02","arctic tern",2017,546998,8077796,"17","nad27"
"29","ARTEDL03","arctic tern",2017,536332,8083363,"17","nad27"
"30","ARTEDL04","arctic tern",2017,536108,8083507,"17","nad27"
"31","ARTEED01","arctic tern",2019,535869,8083539,"17","nad27"
"32","ARTENL01","arctic tern",2019,536251,8083502,"17","nad27"
"33","Bambou","snow goose",NA,534160,8090352,"17","nad27"
"34","BEC1","bairds sandpiper",2004,533409,8118143,"17","nad27"
"35","BEC2","bairds sandpiper",2004,532895,8116673,"17","nad27"
"36","BEC3","bairds sandpiper",2004,538508,8126423,"17","nad27"
"37","BEC4","bairds sandpiper",2004,534443,8118773,"17","nad27"
