"","Year","Habitat","plot_number","R_plot_ID","nb_nest","area_km2"
"1",1999,"Wetland",1,"PH1",0,0.01
"2",1999,"Wetland",2,"PH2",0,0.01
"3",1999,"Wetland",3,"PH3",0,0.01
"4",1999,"Wetland",4,"PH4",0,0.01
"5",1999,"Wetland",5,"PH5",0,0.01
"6",1999,"Wetland",6,"PH6",0,0.01
"7",1999,"Wetland",7,"PH7",0,0.01
"8",1999,"Wetland",8,"PH8",0,0.01
"9",1999,"Wetland",9,"PH9",6,0.01
"10",1999,"Wetland",10,"PH10",0,0.01
"11",1999,"Wetland",11,"PH11",1,0.01
"12",1999,"Wetland",12,"PH12",0,0.01
"13",1999,"Wetland",13,"PH13",0,0.01
"14",1999,"Wetland",14,"PH14",0,0.01
"15",1999,"Wetland",15,"PH15",0,0.01
"16",1999,"Wetland",16,"PH16",0,0.01
"17",1999,"Wetland",17,"PH17",0,0.01
"18",1999,"Wetland",18,"PH18",0,0.01
"19",1999,"Wetland",19,"PH19",0,0.01
"20",1999,"Wetland",20,"PH20",2,0.01
"21",1999,"Mesic",1,"PM1",14,0.04
"22",1999,"Mesic",2,"PM2",0,0.04
"23",1999,"Mesic",3,"PM3",11,0.04
"24",1999,"Mesic",4,"PM4",3,0.04
"25",1999,"Mesic",5,"PM5",15,0.04
"26",1999,"Mesic",6,"PM6",0,0.04
"27",1999,"Mesic",7,"PM7",1,0.04
"28",1999,"Mesic",8,"PM8",0,0.04
"29",1999,"Mesic",9,"PM9",0,0.04
"30",1999,"Mesic",10,"PM10",0,0.04
"31",1999,"Mesic",11,"PM11",0,0.04
"32",1999,"Mesic",12,"PM12",1,0.04
"33",1999,"Mesic",13,"PM13",0,0.04
"34",1999,"Mesic",14,"PM14",1,0.04
"35",1999,"Mesic",15,"PM15",0,0.04
"36",1999,"Mesic",16,"PM16",0,0.04
"37",1999,"Mesic",17,"PM17",1,0.04
"38",1999,"Mesic",18,"PM18",0,0.04
"39",1999,"Mesic",19,"PM19",0,0.04
"40",1999,"Mesic",20,"PM20",0,0.04
"41",1999,"Mesic",21,"PM21",1,0.04
"42",1999,"Mesic",22,"PM22",1,0.04
"43",1999,"Mesic",23,"PM23",0,0.04
"44",1999,"Mesic",24,"PM24",0,0.04
"45",1999,"Mesic",25,"PM25",0,0.04
"46",1999,"Mesic",26,"PM26",10,0.04
"47",1999,"Mesic",27,"PM27",1,0.04
"48",1999,"Mesic",28,"PM28",3,0.04
"49",1999,"Mesic",29,"PM29",4,0.04
"50",2000,"Wetland",1,"PH1",0,0.01
"51",2000,"Wetland",2,"PH2",0,0.01
"52",2000,"Wetland",3,"PH3",0,0.01
"53",2000,"Wetland",4,"PH4",0,0.01
"54",2000,"Wetland",5,"PH5",4,0.01
"55",2000,"Wetland",6,"PH6",0,0.01
"56",2000,"Wetland",7,"PH7",0,0.01
"57",2000,"Wetland",8,"PH8",0,0.01
"58",2000,"Wetland",9,"PH9",0,0.01
"59",2000,"Wetland",10,"PH10",7,0.01
"60",2000,"Wetland",11,"PH11",0,0.01
"61",2000,"Wetland",12,"PH12",0,0.01
"62",2000,"Wetland",13,"PH13",0,0.01
"63",2000,"Wetland",14,"PH14",0,0.01
"64",2000,"Wetland",15,"PH15",3,0.01
"65",2000,"Mesic",1,"PM1",0,0.04
"66",2000,"Mesic",2,"PM2",3,0.04
"67",2000,"Mesic",3,"PM3",0,0.04
"68",2000,"Mesic",4,"PM4",9,0.04
"69",2000,"Mesic",5,"PM5",0,0.04
"70",2000,"Mesic",6,"PM6",1,0.04
"71",2000,"Mesic",7,"PM7",5,0.04
"72",2000,"Mesic",8,"PM8",19,0.04
"73",2000,"Mesic",9,"PM9",4,0.04
"74",2000,"Mesic",10,"PM10",0,0.04
"75",2000,"Mesic",11,"PM11",3,0.04
"76",2000,"Mesic",12,"PM12",5,0.04
"77",2000,"Mesic",13,"PM13",5,0.04
"78",2000,"Mesic",14,"PM14",0,0.04
"79",2000,"Mesic",15,"PM15",0,0.04
"80",2000,"Mesic",16,"PM16",10,0.04
"81",2000,"Mesic",17,"PM17",1,0.04
"82",2000,"Mesic",18,"PM18",4,0.04
"83",2000,"Mesic",19,"PM19",8,0.04
"84",2000,"Mesic",20,"PM20",2,0.04
"85",2000,"Mesic",21,"PM21",1,0.04
"86",2000,"Mesic",22,"PM22",3,0.04
"87",2000,"Mesic",23,"PM23",5,0.04
"88",2001,"Wetland",1,"PH1",6,0.01
"89",2001,"Mesic",1,"PM1",0,0.04
"90",2001,"Mesic",2,"PM2",0,0.04
"91",2001,"Mesic",3,"PM3",1,0.04
"92",2001,"Mesic",4,"PM4",10,0.04
"93",2001,"Mesic",5,"PM5",4,0.04
"94",2001,"Mesic",6,"PM6",10,0.04
"95",2001,"Mesic",7,"PM7",12,0.04
"96",2001,"Mesic",8,"PM8",4,0.04
"97",2001,"Mesic",9,"PM9",17,0.04
"98",2001,"Mesic",10,"PM10",42,0.04
"99",2002,"Wetland",1,"PH1",0,0.01
"100",2002,"Wetland",2,"PH2",0,0.01
"101",2002,"Wetland",3,"PH3",0,0.01
"102",2002,"Wetland",4,"PH4",0,0.01
"103",2002,"Wetland",5,"PH5",0,0.01
"104",2002,"Wetland",6,"PH6",0,0.01
"105",2002,"Wetland",7,"PH7",0,0.01
"106",2002,"Wetland",8,"PH8",0,0.01
"107",2002,"Wetland",9,"PH9",0,0.01
"108",2002,"Wetland",10,"PH10",0,0.01
"109",2002,"Wetland",11,"PH11",0,0.01
"110",2002,"Wetland",12,"PH12",9,0.01
"111",2002,"Mesic",1,"PM1",0,0.04
"112",2002,"Mesic",2,"PM2",0,0.04
"113",2002,"Mesic",3,"PM3",0,0.04
"114",2002,"Mesic",4,"PM4",0,0.04
"115",2002,"Mesic",5,"PM5",0,0.04
"116",2002,"Mesic",6,"PM6",0,0.04
"117",2002,"Mesic",7,"PM7",0,0.04
"118",2002,"Mesic",8,"PM8",0,0.04
"119",2002,"Mesic",9,"PM9",0,0.04
"120",2002,"Mesic",10,"PM10",0,0.04
"121",2002,"Mesic",11,"PM11",27,0.04
"122",2002,"Mesic",12,"PM12",0,0.04
"123",2002,"Mesic",13,"PM13",4,0.04
"124",2002,"Mesic",14,"PM14",0,0.04
"125",2002,"Mesic",15,"PM15",3,0.04
"126",2002,"Mesic",16,"PM16",0,0.04
"127",2002,"Mesic",17,"PM17",26,0.04
"128",2002,"Mesic",18,"PM18",13,0.04
"129",2002,"Mesic",19,"PM19",0,0.04
"130",2002,"Mesic",20,"PM20",4,0.04
"131",2002,"Mesic",21,"PM21",32,0.04
"132",2003,"Wetland",1,"PH1",0,0.01
"133",2003,"Wetland",2,"PH2",0,0.01
"134",2003,"Wetland",3,"PH3",0,0.01
"135",2003,"Wetland",4,"PH4",0,0.01
"136",2003,"Wetland",5,"PH5",0,0.01
"137",2003,"Wetland",6,"PH6",0,0.01
"138",2003,"Wetland",7,"PH7",0,0.01
"139",2003,"Wetland",8,"PH8",0,0.01
"140",2003,"Wetland",9,"PH9",0,0.01
"141",2003,"Wetland",10,"PH10",0,0.01
"142",2003,"Wetland",11,"PH11",0,0.01
"143",2003,"Wetland",12,"PH12",44,0.01
"144",2003,"Mesic",1,"PM1",0,0.04
"145",2003,"Mesic",2,"PM2",0,0.04
"146",2003,"Mesic",3,"PM3",26,0.04
"147",2003,"Mesic",4,"PM4",21,0.04
"148",2003,"Mesic",5,"PM5",0,0.04
"149",2003,"Mesic",6,"PM6",0,0.04
"150",2003,"Mesic",7,"PM7",0,0.04
"151",2003,"Mesic",8,"PM8",0,0.04
"152",2003,"Mesic",9,"PM9",0,0.04
"153",2003,"Mesic",10,"PM10",15,0.04
"154",2003,"Mesic",11,"PM11",0,0.04
"155",2003,"Mesic",12,"PM12",0,0.04
"156",2003,"Mesic",13,"PM13",19,0.04
"157",2003,"Mesic",14,"PM14",0,0.04
"158",2003,"Mesic",15,"PM15",0,0.04
"159",2003,"Mesic",16,"PM16",0,0.04
"160",2003,"Mesic",17,"PM17",16,0.04
"161",2004,"Wetland",1,"PH1",1,0.01
"162",2004,"Wetland",2,"PH2",2,0.01
"163",2004,"Wetland",3,"PH3",0,0.01
"164",2004,"Wetland",4,"PH4",0,0.01
"165",2004,"Wetland",5,"PH5",4,0.01
"166",2004,"Mesic",1,"PM1",1,0.04
"167",2004,"Mesic",2,"PM2",2,0.04
"168",2004,"Mesic",3,"PM3",0,0.04
"169",2004,"Mesic",4,"PM4",0,0.04
"170",2004,"Mesic",5,"PM5",0,0.04
"171",2004,"Mesic",6,"PM6",0,0.04
"172",2004,"Mesic",7,"PM7",0,0.04
"173",2004,"Mesic",8,"PM8",0,0.04
"174",2004,"Mesic",9,"PM9",0,0.04
"175",2004,"Mesic",10,"PM10",0,0.04
"176",2004,"Mesic",11,"PM11",0,0.04
"177",2004,"Mesic",12,"PM12",0,0.04
"178",2004,"Mesic",13,"PM13",0,0.04
"179",2004,"Mesic",14,"PM14",0,0.04
"180",2004,"Mesic",15,"PM15",0,0.04
"181",2004,"Mesic",16,"PM16",0,0.04
"182",2004,"Mesic",17,"PM17",0,0.04
"183",2004,"Mesic",18,"PM18",0,0.04
"184",2004,"Mesic",19,"PM19",0,0.04
"185",2004,"Mesic",20,"PM20",1,0.04
"186",2004,"Mesic",21,"PM21",0,0.04
"187",2004,"Mesic",22,"PM22",0,0.04
"188",2004,"Mesic",23,"PM23",0,0.04
"189",2004,"Mesic",24,"PM24",0,0.04
"190",2004,"Mesic",25,"PM25",0,0.04
"191",2004,"Mesic",26,"PM26",0,0.04
"192",2004,"Mesic",27,"PM27",0,0.04
"193",2004,"Mesic",28,"PM28",0,0.04
"194",2004,"Mesic",29,"PM29",0,0.04
"195",2004,"Mesic",30,"PM30",0,0.04
"196",2004,"Mesic",31,"PM31",1,0.04
"197",2005,"Wetland",1,"PH1",0,0.01
"198",2005,"Wetland",2,"PH2",0,0.01
"199",2005,"Wetland",3,"PH3",1,0.01
"200",2005,"Wetland",4,"PH4",10,0.01
"201",2005,"Wetland",5,"PH5",0,0.01
"202",2005,"Wetland",6,"PH6",13,0.01
"203",2005,"Mesic",1,"PM1",1,0.04
"204",2005,"Mesic",2,"PM2",2,0.04
"205",2005,"Mesic",3,"PM3",3,0.04
"206",2005,"Mesic",4,"PM4",0,0.04
"207",2005,"Mesic",5,"PM5",2,0.04
"208",2005,"Mesic",6,"PM6",0,0.04
"209",2005,"Mesic",7,"PM7",0,0.04
"210",2005,"Mesic",8,"PM8",0,0.04
"211",2005,"Mesic",9,"PM9",1,0.04
"212",2005,"Mesic",10,"PM10",1,0.04
"213",2005,"Mesic",11,"PM11",0,0.04
"214",2005,"Mesic",12,"PM12",0,0.04
"215",2005,"Mesic",13,"PM13",1,0.04
"216",2005,"Mesic",14,"PM14",4,0.04
"217",2005,"Mesic",15,"PM15",0,0.04
"218",2005,"Mesic",16,"PM16",6,0.04
"219",2005,"Mesic",17,"PM17",8,0.04
"220",2006,"Wetland",1,"PH1",0,0.01
"221",2006,"Wetland",2,"PH2",6,0.01
"222",2006,"Wetland",3,"PH3",0,0.01
"223",2006,"Wetland",4,"PH4",0,0.01
"224",2006,"Wetland",5,"PH5",4,0.01
"225",2006,"Wetland",6,"PH6",9,0.01
"226",2006,"Wetland",7,"PH7",0,0.01
"227",2006,"Wetland",8,"PH8",0,0.01
"228",2006,"Wetland",9,"PH9",0,0.01
"229",2006,"Wetland",10,"PH10",0,0.01
"230",2006,"Wetland",11,"PH11",6,0.01
"231",2006,"Wetland",12,"PH12",1,0.01
"232",2006,"Wetland",13,"PH13",0,0.01
"233",2006,"Wetland",14,"PH14",4,0.01
"234",2006,"Wetland",15,"PH15",1,0.01
"235",2006,"Wetland",16,"PH16",0,0.01
"236",2006,"Wetland",17,"PH17",5,0.01
"237",2006,"Wetland",18,"PH18",2,0.01
"238",2006,"Wetland",19,"PH19",3,0.01
"239",2006,"Wetland",20,"PH20",1,0.01
"240",2006,"Wetland",21,"PH21",1,0.01
"241",2006,"Wetland",22,"PH22",1,0.01
"242",2006,"Wetland",23,"PH23",4,0.01
"243",2006,"Wetland",24,"PH24",0,0.01
"244",2006,"Wetland",25,"PH25",0,0.01
"245",2006,"Wetland",26,"PH26",0,0.01
"246",2006,"Wetland",27,"PH27",0,0.01
"247",2006,"Wetland",28,"PH28",0,0.01
"248",2006,"Wetland",29,"PH29",7,0.01
"249",2006,"Mesic",1,"PM1",0,0.04
"250",2006,"Mesic",2,"PM2",0,0.04
"251",2006,"Mesic",3,"PM3",0,0.04
"252",2006,"Mesic",4,"PM4",1,0.04
"253",2006,"Mesic",5,"PM5",5,0.04
"254",2006,"Mesic",6,"PM6",1,0.04
"255",2006,"Mesic",7,"PM7",0,0.04
"256",2006,"Mesic",8,"PM8",10,0.04
"257",2006,"Mesic",9,"PM9",7,0.04
"258",2006,"Mesic",10,"PM10",1,0.04
"259",2006,"Mesic",11,"PM11",0,0.04
"260",2006,"Mesic",12,"PM12",2,0.04
"261",2006,"Mesic",13,"PM13",0,0.04
"262",2006,"Mesic",14,"PM14",0,0.04
"263",2006,"Mesic",15,"PM15",0,0.04
"264",2006,"Mesic",16,"PM16",0,0.04
"265",2006,"Mesic",17,"PM17",0,0.04
"266",2006,"Mesic",18,"PM18",0,0.04
"267",2006,"Mesic",19,"PM19",0,0.04
"268",2006,"Mesic",20,"PM20",0,0.04
"269",2006,"Mesic",21,"PM21",0,0.04
"270",2006,"Mesic",22,"PM22",4,0.04
"271",2006,"Mesic",23,"PM23",2,0.04
"272",2006,"Mesic",24,"PM24",0,0.04
"273",2006,"Mesic",25,"PM25",2,0.04
"274",2006,"Mesic",26,"PM26",1,0.04
"275",2006,"Mesic",27,"PM27",0,0.04
"276",2006,"Mesic",28,"PM28",2,0.04
"277",2007,"Wetland",1,"PH1",4,0.01
"278",2007,"Wetland",2,"PH2",6,0.01
"279",2007,"Wetland",3,"PH3",3,0.01
"280",2007,"Wetland",4,"PH4",1,0.01
"281",2007,"Wetland",5,"PH5",0,0.01
"282",2007,"Wetland",6,"PH6",7,0.01
"283",2007,"Wetland",7,"PH7",0,0.01
"284",2007,"Wetland",8,"PH8",1,0.01
"285",2007,"Wetland",9,"PH9",4,0.01
"286",2007,"Wetland",10,"PH10",13,0.01
"287",2007,"Mesic",1,"PM1",1,0.04
"288",2007,"Mesic",2,"PM2",0,0.04
"289",2007,"Mesic",3,"PM3",0,0.04
"290",2007,"Mesic",4,"PM4",3,0.04
"291",2007,"Mesic",5,"PM5",0,0.04
"292",2007,"Mesic",6,"PM6",0,0.04
"293",2007,"Mesic",7,"PM7",2,0.04
"294",2007,"Mesic",8,"PM8",0,0.04
"295",2007,"Mesic",9,"PM9",0,0.04
"296",2007,"Mesic",10,"PM10",2,0.04
"297",2007,"Mesic",11,"PM11",0,0.04
"298",2007,"Mesic",12,"PM12",0,0.04
"299",2007,"Mesic",13,"PM13",0,0.04
"300",2007,"Mesic",14,"PM14",5,0.04
"301",2007,"Mesic",15,"PM15",1,0.04
"302",2007,"Mesic",16,"PM16",0,0.04
"303",2007,"Mesic",17,"PM17",0,0.04
"304",2007,"Mesic",18,"PM18",1,0.04
"305",2007,"Mesic",19,"PM19",0,0.04
"306",2007,"Mesic",20,"PM20",1,0.04
"307",2008,"Wetland",1,"PH1",1,0.01
"308",2008,"Wetland",2,"PH2",15,0.01
"309",2008,"Wetland",3,"PH3",0,0.01
"310",2008,"Wetland",4,"PH4",2,0.01
"311",2008,"Wetland",5,"PH5",7,0.01
"312",2008,"Wetland",6,"PH6",17,0.01
"313",2008,"Wetland",7,"PH7",9,0.01
"314",2008,"Mesic",1,"PM1",0,0.04
"315",2008,"Mesic",2,"PM2",0,0.04
"316",2008,"Mesic",3,"PM3",5,0.04
"317",2008,"Mesic",4,"PM4",0,0.04
"318",2008,"Mesic",5,"PM5",1,0.04
"319",2008,"Mesic",6,"PM6",7,0.04
"320",2008,"Mesic",7,"PM7",0,0.04
"321",2008,"Mesic",8,"PM8",7,0.04
"322",2008,"Mesic",9,"PM9",3,0.04
"323",2008,"Mesic",10,"PM10",2,0.04
"324",2008,"Mesic",11,"PM11",1,0.04
"325",2008,"Mesic",12,"PM12",1,0.04
"326",2008,"Mesic",13,"PM13",0,0.04
"327",2008,"Mesic",14,"PM14",0,0.04
"328",2008,"Mesic",15,"PM15",0,0.04
"329",2008,"Mesic",16,"PM16",13,0.04
"330",2008,"Mesic",17,"PM17",7,0.04
"331",2009,"Wetland",1,"PH1",3,0.01
"332",2009,"Wetland",2,"PH2",5,0.01
"333",2009,"Wetland",3,"PH3",5,0.01
"334",2009,"Wetland",4,"PH4",6,0.01
"335",2009,"Wetland",5,"PH5",3,0.01
"336",2009,"Wetland",6,"PH6",2,0.01
"337",2009,"Wetland",7,"PH7",2,0.01
"338",2009,"Wetland",8,"PH8",2,0.01
"339",2009,"Wetland",9,"PH9",3,0.01
"340",2009,"Wetland",10,"PH10",0,0.01
"341",2009,"Wetland",11,"PH11",3,0.01
"342",2009,"Wetland",12,"PH12",0,0.01
"343",2009,"Wetland",13,"PH13",2,0.01
"344",2009,"Wetland",14,"PH14",9,0.01
"345",2009,"Wetland",15,"PH15",10,0.01
"346",2009,"Mesic",1,"PM1",0,0.04
"347",2009,"Mesic",2,"PM2",3,0.04
"348",2009,"Mesic",3,"PM3",0,0.04
"349",2009,"Mesic",4,"PM4",22,0.04
"350",2009,"Mesic",5,"PM5",8,0.04
"351",2009,"Mesic",6,"PM6",0,0.04
"352",2009,"Mesic",7,"PM7",8,0.04
"353",2009,"Mesic",8,"PM8",1,0.04
"354",2009,"Mesic",9,"PM9",0,0.04
"355",2009,"Mesic",10,"PM10",3,0.04
"356",2009,"Mesic",11,"PM11",11,0.04
"357",2009,"Mesic",12,"PM12",0,0.04
"358",2009,"Mesic",13,"PM13",0,0.04
"359",2009,"Mesic",14,"PM14",25,0.04
"360",2010,"Wetland",1,"PH1",1,0.01
"361",2010,"Wetland",2,"PH2",1,0.01
"362",2010,"Wetland",3,"PH3",1,0.01
"363",2010,"Wetland",4,"PH4",1,0.01
"364",2010,"Wetland",5,"PH5",2,0.01
"365",2010,"Wetland",6,"PH6",1,0.01
"366",2010,"Wetland",7,"PH7",1,0.01
"367",2010,"Wetland",8,"PH8",0,0.01
"368",2010,"Wetland",9,"PH9",1,0.01
"369",2010,"Wetland",10,"PH10",5,0.01
"370",2010,"Wetland",11,"PH11",3,0.01
"371",2010,"Wetland",12,"PH12",0,0.01
"372",2010,"Wetland",13,"PH13",6,0.01
"373",2010,"Wetland",14,"PH14",1,0.01
"374",2010,"Wetland",15,"PH15",0,0.01
"375",2010,"Wetland",16,"PH16",1,0.01
"376",2010,"Wetland",17,"PH17",0,0.01
"377",2010,"Wetland",18,"PH18",0,0.01
"378",2010,"Wetland",19,"PH19",3,0.01
"379",2010,"Wetland",20,"PH20",2,0.01
"380",2010,"Wetland",21,"PH21",11,0.01
"381",2010,"Wetland",22,"PH22",0,0.01
"382",2010,"Wetland",23,"PH23",0,0.01
"383",2010,"Wetland",24,"PH24",1,0.01
"384",2010,"Wetland",25,"PH25",0,0.01
"385",2010,"Wetland",26,"PH26",0,0.01
"386",2010,"Wetland",27,"PH27",5,0.01
"387",2010,"Wetland",28,"PH28",0,0.01
"388",2010,"Wetland",29,"PH29",2,0.01
"389",2010,"Wetland",30,"PH30",1,0.01
"390",2010,"Wetland",31,"PH31",0,0.01
"391",2010,"Wetland",32,"PH32",0,0.01
"392",2010,"Wetland",33,"PH33",4,0.01
"393",2010,"Wetland",34,"PH34",1,0.01
"394",2010,"Mesic",1,"PM1",0,0.04
"395",2010,"Mesic",2,"PM2",4,0.04
"396",2010,"Mesic",3,"PM3",0,0.04
